,normal_1,normal_2,normal_3,normal_4,normal_5,normal_6,normal_7,normal_8,normal_9,normal_10,normal_11,normal_12,normal_13,normal_14,symptomatic_1,symptomatic_2,symptomatic_3,symptomatic_4,symptomatic_5,symptomatic_6,symptomatic_7,symptomatic_8,symptomatic_9,symptomatic_10,symptomatic_11,symptomatic_12
MIR4640,105.0658602,291.7051075,75.96290323,225.2387634,161.4954301,126.1418011,242.3924194,130.1222043,143.4253763,129.1221774,174.9836022,164.7266129,140.8153226,156.0058064,117.8670596,112.7255184,94.41532258,138.8790323,102.2927419,117.0104839,143.6858602,103.7974194,118.6596774,132.4602151,122.4221774,121.2107527
RFC2,30.69813748,47.05793011,52.67908602,33.62069892,38.03182412,52.55004888,52.77069892,47.52755376,56.53330645,52.91370968,56.58965054,18.11518817,62.37284946,48.92997312,60.34637097,53.01491935,60.98508065,38.01182796,67.59408602,52.73225806,65.93951613,64.22866744,69.44516129,62.2747043,51.31505376,45.68102151
HSPA6,204.0317204,167.5456989,286.8917644,107.2833747,261.7588172,192.0508064,208.286828,261.3805108,405.7849462,150.925,261.7588172,137.2688172,214.6466129,256.1045699,379.2155914,272.6311828,353.5071359,186.5295699,200.4023118,278.5634409,237.2132719,273.3317204,304.4725806,225.9752688,287.794086,161.2819355
PAX8,142.7070968,134.8748925,107.2583065,131.3057796,188.9267473,132.6487903,122.4745968,112.8724462,125.2295699,141.9793011,75.66083333,120.472043,100.901778,100.4698387,103.2635546,115.2603495,80.8047043,97.96572581,116.675672,116.4981644,109.8990323,92.08413979,100.0014785,103.2907258,115.9530914,121.5729839
GUCA1A,21.43897849,31.51021505,13.51263441,27.05663979,9.87311828,9.862903226,43.20696237,17.61032258,23.12565284,12.02795699,58.37666667,60.42701613,58.05575269,15.11626344,27.02150538,38.50913978,23.11989247,39.73774194,23.20739247,17.10322581,21.0405914,43.3038172,47.60636329,41.97403226,27.23231183,33.92052995
MIR5193,199.3130376,121.8924731,202.8733333,37.76709677,57.64102151,140.8153226,131.5673118,184.3298387,166.4086022,182.9989247,119.9814516,125.8413979,140.8777419,168.1091398,104.800672,94.8068126,146.4077419,148.1833333,128.697043,54.35443548,89.45521505,114.8306452,105.0513441,124.6602151,120.6297312,103.5033871
THRA,60.71282258,36.0205914,61.94354839,67.32916667,87.75225806,52.08965054,50.52830645,50.43510753,66.40483871,70.30107527,56.85583333,49.38155914,27.22760753,63.48736559,44.58795455,54.73677419,35.6438172,42.65672043,27.45080645,42.60016129,49.25752688,32.98876344,40.06505376,42.67123656,45.0800391,42.13126344
PTPN21,18.69596774,11.71424731,20.58947773,24.24206989,18.55139785,9.27983871,22.55806452,13.48561828,17.49032258,22.2577957,43.37168203,19.36586022,21.60295699,18.23879032,19.59758065,9.490591398,16.02768817,13.01021505,15.78413978,9.005645161,5.277688172,9.106989247,17.78239247,12.26827957,17.37311828,9.415591398
CCL5,1064.057097,756.3584869,829.994086,499.7943164,385.0173118,839.7666667,778.5854839,1024.282312,957.651828,934.5456989,1642.999731,954.4787635,1787.911774,841.3102151,418.0051808,720.0008065,594.8741935,1381.238441,1210.82957,304.0266129,446.1760215,681.1858602,342.3089247,593.4424731,447.2155914,439.8974194
CYP2E1,20.22225806,54.61010753,22.46193548,31.37392473,26.5811828,33.33034946,31.30715054,21.43400538,46.67263441,16.71370968,39.57865591,19.34784946,26.62083333,12.32741935,14.72016129,12.35188172,30.53951613,22.27795699,14.45510753,13.18978495,32.38639785,14.76586022,20.96564516,31.13198925,23.92876344,14.35446237
EPHB3,51.66024194,87.66612903,49.72978495,36.72258065,42.36774194,66.90930108,127.9688172,94.35537634,81.9922043,47.28948285,117.4354839,87.7155914,79.6311828,69.70685484,88.33544251,123.5773118,57.85091398,88.3235732,71.8655914,92.265,49.05806452,51.54981183,78.28032258,78.36236559,88.05157258,65.08739247
ESRRA,277.9516129,270.0346774,149.352957,148.3870968,223.0561828,174.9228495,162.3747312,150.2618548,181.7448925,179.8236559,170.6276882,134.761828,98.75169355,191.0846237,126.8450538,144.5701613,118.0290323,135.4836559,98.47688172,141.8352151,166.736828,139.9516129,135.2389247,139.1656183,136.6758065,132.368871
CYP2A6,191.9236559,230.4038978,137.9430108,182.8774194,181.4112903,147.7447849,184.7069892,155.1134409,200.7021505,153.8172043,164.6306452,115.9869355,173.0231183,164.6811828,106.5083333,175.2747312,100.7583333,132.4080645,149.0252688,148.6212366,155.9151344,96.10655914,146.4879032,135.0013441,168.3548387,105.570914
GAS6,104.5290323,177.0120968,127.2107258,120.815,238.7715054,176.0639785,127.1345008,136.2403226,149.0950269,143.9655914,157.6586999,131.5394624,134.8561828,154.572043,124.4950538,128.4072581,109.8336021,110.0215054,149.4978495,120.8818548,134.5170699,128.855,111.2172043,97.95208333,140.6741935,144.763172
MMP14,131.9951613,94.9766129,93.22284946,101.1168011,94.41532258,98.01478495,100.4537634,101.5262366,76.3922043,108.8728495,91.34677419,95.33064516,79.85005376,62.55478495,50.33395929,90.42983871,72.64677419,85.89311828,68.48709677,80.52231183,101.1682796,70.19209677,67.53897849,75.89623656,72.83010753,80.98731183
TRADD,126.9327957,104.1401767,116.7236559,58.69704301,74.07634409,109.1286559,109.6498656,111.9012903,170.2424731,287.5266705,76.32553763,71.9641129,124.1526882,173.616129,139.1084946,119.9709677,100.2530914,91.96817204,140.8355376,88.66123656,87.90473118,143.8896774,151.9311828,69.43322581,106.8895161,163.683871
PLD1,36.32927419,27.32177419,37.55695853,57.15672043,34.35104839,30.29964158,30.90408602,38.12947389,37.32018817,24.57102151,18.6088172,22.19180108,31.59650538,23.58655914,27.7733871,39.15672043,24.03669355,30.01650538,34.18548387,33.62069892,29.58107527,26.09860215,26.81155914,32.40794931,42.05994624,7.884139785
