,normal_1,normal_2,normal_3,normal_4,normal_5,normal_6,HD_1,HD_2,HD_3,HD_4,HD_5,HD_6,HD_7,HD_8
DDX1,175.8527194,183.0990911,168.7181808,74.10293103,131.5175961,135.6349166,102.4884088,7.718356915,24.31546578,17.14451428,72.02289973,135.2152128,85.09158562,208.0933989
ZNF140,40.05353375,36.58514837,27.04698585,42.87457633,37.66576561,70.22702301,15.63524474,1.186664808,2.493465318,1.940922073,16.6049433,54.37276867,19.96666917,69.99538341
SEPT5-GP1BB,4.753551342,5.970480682,10.26397148,10.13887354,17.78520132,13.12540751,29.6414495,43.81958143,24.34574949,30.89437633,21.40513272,14.95134406,17.89297705,5.592797443
NFIC,17.37701695,20.08904072,47.11205811,6.985954106,35.84063004,21.44555078,73.58113115,23.84072599,121.7938783,121.4393828,40.60271561,23.04707506,46.94184162,21.69916576
POU3F2,5.261220983,9.079886595,17.6904885,5.79420996,2.066116581,2.216031294,33.91960055,18.76579984,7.411900074,23.28896443,33.17811629,8.742109128,12.89420978,6.486980813
CNTN6,4.308655675,6.531519452,5.261220983,3.33846598,6.088930203,3.876595292,20.209227,62.48857173,45.5651208,4.452081382,16.93818993,11.20537018,3.996554333,36.83392792
ADRA2A,58.14983648,31.46902325,55.33860737,51.95141197,31.82238646,54.94512952,16.03031849,17.7979197,15.08967843,21.40513272,9.508468687,10.5055685,7.231245746,32.76553239
CTSZ,80.07291303,14.82830773,16.91313038,103.8861042,120.2194401,35.8022361,121.1830692,74.97327674,77.15631711,67.9902969,257.7785112,179.5617153,172.9184475,196.8351072
RGS13,4.828705165,1.612910133,2.220872251,0.668027557,13.26328469,2.659611482,16.83748343,3.267238086,2.324637292,2.060589125,14.5846447,20.14275502,14.05631973,10.54533599
PTOV1,48.05905601,5.440930202,14.41443701,21.61822445,12.66852107,5.059640256,98.80482902,81.45333972,15.42416387,109.2262108,37.28948338,43.8109866,41.51373695,63.28692842
RPGRIP1L,4.006759398,13.68542412,25.61006529,8.017960786,13.98808617,1.073913846,22.78821355,24.94508071,57.03307392,35.468296,12.37002162,14.72380724,10.78225885,15.42416387
PAQR6,30.98029837,18.1234211,27.85031561,65.38276156,46.87243491,21.19850272,110.2403026,137.0678464,22.78821355,111.5507607,103.6207963,75.24657489,52.59254011,63.94872737
HEATR3,41.38862984,59.96210615,35.55904734,76.04605321,42.54493561,33.13279822,5.210032377,1.650029176,4.585795302,1.389470094,20.76469107,34.88279783,25.02721659,84.91856128
