"","normal_1","normal_2","normal_3","normal_4","normal_5","normal_6","HD_1","HD_2","HD_3","HD_4","HD_5","HD_6","HD_7","HD_8"
"MIR4640",108.401273252143,98.9197475371429,141.969019128571,103.082166412857,105.586878094286,141.399517457143,163.208002914286,159.864247257143,157.572546414286,216.846810107143,93.7048359357143,105.691832862143,93.9341282842857,58.0996277607143
"RFC2",35.6581965271429,42.2956562007143,44.9031200128571,58.9255547485714,59.7185879085714,62.1514020357143,51.0401694592857,62.5561180814286,84.4066750621429,54.9339960992857,79.7062690328571,50.7525987564286,64.4769248635714,58.3994303992857
"HSPA6",275.041698157143,338.069109792857,362.847436292857,247.962971042857,450.7933903,358.64015955,281.378580692857,321.511930214286,286.293691978571,250.944383385714,708.9073688,463.834503014286,408.843039235714,313.355921228571
"PAX8",71.3681346342857,75.3018580378571,108.847208609286,68.3833328721429,65.8383296621429,93.1850028785714,97.025338085,108.778448495714,90.9360079964286,120.219440071429,81.473010015,63.2869284214286,56.4422685735714,64.4951329907143
"GUCA1A",38.5132682085714,46.1630897007143,49.36877926,20.6159043978571,40.2626285542857,55.82598749,44.2939398678571,77.6627725135714,22.7588339442857,39.7473332428571,19.6771732092857,40.4226785321429,21.9316836092857,34.4140209342857
"MIR5193",182.701638235714,92.1748663542857,179.420713378571,188.28123205,126.088991607143,125.13504915,234.24863115,197.102859907143,270.564286585714,237.845776035714,123.381684192857,176.062821371429,173.8278533,121.577375671429
"THRA",16.8496354142857,30.3781398842857,47.1924542842857,26.188490465,25.6100652892857,30.0605658507143,20.7415299078571,15.9742683457143,37.7038202364286,49.140037145,36.1542942271429,31.0111429492857,31.643541305,27.0178173428571
"PTPN21",17.0691872614286,8.97033337178571,16.9633604514286,14.1857322228571,11.5776110569286,26.6335466764286,38.2776851235714,26.7813846078571,42.5615561328571,22.3000280235714,19.9334518607143,22.3117285807143,13.3571008853571,8.32527617835714
"CCL5",360.388638814286,485.603966921429,1268.70087814286,921.251378192857,602.505903092857,492.516155721429,1406.33914692857,727.585488592857,1032.16290125,1897.82892392857,280.360424257143,275.041698157143,973.801030642857,543.01323345
"CYP2E1",12.0502514542143,16.709961145,19.2559504085714,26.9175076785714,16.0665005971429,18.45862845,16.709961145,28.3584371071429,17.9215215835714,25.0522725235714,17.7979197021429,14.6987117721429,18.51914986,16.6799186357143
"EPHB3",56.4933746835714,47.6113894128571,95.1135328485714,55.8690011521429,66.96837555,51.3782319442857,115.472110121429,76.9604251107143,53.3911703778571,77.9319548892857,63.6980563114286,46.2119795792857,47.112058105,28.94007609
"ESRRA",94.9714541,73.2134034692857,115.513580878571,104.738375811429,106.152891818571,125.736582614286,130.737444078571,184.455703085714,147.293178185714,147.560435328571,91.9845412892857,114.110477720714,77.7957493407143,74.7582382664286
"CYP2A6",112.878057216429,107.128874016429,205.453122185714,97.9438885542857,109.226210767143,193.108608964286,201.322693635714,264.21164755,210.3048283,197.203281385714,118.5741032,120.393664164286,127.530687578571,76.2618450792857
"GAS6",119.828588435714,98.97100346,109.533634092857,94.4743321292857,110.112054525714,119.674034857143,157.89621235,148.413379042857,106.020843174286,158.272802335714,128.847400485714,89.4961399378571,93.2331744078571,69.3786099485714
"MMP14",50.9524306557143,53.5833211285714,62.4217547164286,58.0834984378571,47.6588332214286,93.4017462635714,101.078665308571,81.1616446157143,70.9686347785714,112.932273617143,49.67905069,33.3637409428571,45.5311127928571,41.0701980342857
"TRADD",125.490122328571,124.091434292857,86.9968646035714,82.7682717235714,114.069144697857,84.3410137571429,188.114716992857,63.6345267542857,42.2956562007143,140.527852442857,146.153853485714,110.667883151429,151.405553464286,146.510534057143
"PLD1",23.0470750607143,31.0308130585714,22.5364040921429,21.1405338678571,25.9401847078571,19.0897278171429,30.26349172,29.9843644371429,28.3145466642857,41.6215909992857,34.2451426828571,17.5991724721429,17.0360062328571,19.8932617007143
"CHURC1-FNTB",48.7431696971429,32.6609627485714,15.6411834957143,51.660991005,36.8789186414286,36.5772900292857,34.5977038528571,19.4978908821429,25.3814948814286,76.6611527992857,62.3568339228571,21.0893169142857,46.951645655,38.3228360642857
"DTX2P1-UPK3BP1-PMS2P11",253.612584778571,301.412626114286,239.089131721429,154.442012407143,305.986343792857,306.58745265,246.311194307143,334.519915678571,497.514992307143,326.92170405,175.696553564286,242.654062857143,305.676492171429,187.072654764286
"BAD",26.5429422228571,49.8462444742857,83.1754220878571,23.4717821535714,37.0286613835714,12.2317651320714,37.1125341114286,16.0428077064286,21.18748617,90.5568418592857,28.22525654,37.9845586421429,55.6527413921429,40.9506955357143
"PRPF8",244.3670059,157.242750328571,224.91996405,295.802417114286,159.626953964286,46.2465903271429,260.01176975,224.545765535714,277.084979935714,260.713813435714,160.900163514286,204.945262242857,198.842234885714,145.458985078571
"CAPNS1",700.233346692857,570.158241892857,751.474347471429,869.19422675,786.080753792857,855.089771542857,907.070775678571,919.321813978571,855.089771542857,1294.19460678571,515.886850535714,699.224199592857,708.9073688,523.309295914286
"RPL35",554.062193614286,294.92181045,466.267395907143,207.50298345,162.881490664286,100.886412796429,319.161600335714,359.173749978571,196.029747871429,306.58745265,150.04597555,188.534901928571,282.192726221429,665.697925928571
"MIR6805",4744.47729264286,3976.47259371429,5370.44524578571,5274.65599821429,3976.47259371429,2992.4267965,5479.69943614286,5004.19971435714,4825.68174378571,5987.94794592857,2603.78127335714,5109.37765407143,4469.10365214286,4744.47729264286
"EIF4G2",719.48880565,733.697058085714,415.189130614286,790.864782278571,582.280778978571,526.359153107143,503.556501357143,279.696155628571,224.678307764286,94.893890255,668.841121021429,528.442392392857,659.603763128571,727.585488592857
"EIF3D",806.110216207143,873.848971571429,578.709478807143,613.240555907143,501.258165485714,517.273847057143,462.604584557143,623.66861575,529.197899707143,496.093559464286,453.430092235714,773.680113457143,641.971951757143,696.270599135714
"PARK7",1233.58704514286,1238.07596,634.636175342857,1559.4797325,1025.64394422143,932.952537164286,660.717887757143,485.603966921429,667.289325507143,667.289325507143,907.070775678571,912.225978921429,1321.94298757143,1181.0449291
"SRP14",747.280710621429,999.750064192857,1710.62229307143,812.98001345,536.090577935714,753.199476507143,924.541204607143,696.270599135714,710.686993821429,555.610853014286,656.003992578571,620.266964485714,839.391930178571,1007.82697417857
"GDI2",794.43406475,904.752227442857,390.890275385714,610.008240378571,610.008240378571,520.698758435714,364.659364692857,243.778415964286,212.665792785714,202.68612965,649.537634064286,873.848971571429,704.302207292857,1018.21315908571
"RPL11",2091.69146735714,2228.60683935714,2686.08254764286,1567.54233328571,932.952537164286,907.070775678571,1249.23505692857,1305.23823135714,708.9073688,700.233346692857,754.618582592857,1604.7747365,1774.86842557143,3548.41294235714
"ARF3",210.214606228571,217.618767742857,345.568598178571,264.762836428571,284.457043935714,255.965392035714,361.918528592857,308.489601564286,353.615808014286,449.997427964286,217.029583985714,243.693196678571,287.089220414286,170.001282935714
"RPL21P28",1604.7747365,2644.28906307143,2197.14220214286,1102.13465367143,913.779041142857,1885.36625885714,1634.6647935,1253.31144114286,1421.81243607143,1350.88611371429,778.504799992857,959.507253464286,1389.71663535714,1614.064283
"RPL24",2628.717349,2718.76618164286,2214.02391228571,1840.42007,1097.64990439286,1077.89084595714,2172.57106342857,1321.94298757143,1764.62101757143,1576.01292935714,890.6615126,1512.9419955,2024.72040242857,2903.63413807143
"HNRNPC",606.105014657143,684.31299695,366.180482792857,515.886850535714,640.577349428571,467.647972178571,324.014889821429,265.146633892857,236.759183971429,136.883823757143,694.937793714286,517.273847057143,637.179801157143,638.372538807143
"2-Sep",381.263282992857,579.649706907143,200.575459192857,396.074152185714,333.745786728571,250.656370171429,160.779845985714,127.098902442857,152.53429595,106.210695767143,309.941087785714,424.071116807143,278.812394971429,481.149694292857
"HNRNPA1P10",2578.275083,3242.53355157143,1604.7747365,2504.80288714286,1840.42007,1268.70087814286,1204.69894422857,917.075038721429,1074.73419445,414.8896038,1489.89671064286,2282.76837878571,2228.60683935714,3454.11878635714
"RPS27A",1810.11314564286,1544.55336492857,2037.46818878571,1576.01292935714,1161.27481296429,1018.21315908571,1967.76406564286,1241.62017314286,1521.29162207143,1692.46094528571,554.750332328571,1067.41305362143,1787.198411,2298.78154071429
"LOC100508408",5190.10264985714,5370.44524578571,4672.84535442857,4469.10365214286,2603.78127335714,2504.80288714286,4469.10365214286,3242.53355157143,3976.47259371429,3637.45423521429,1774.86842557143,4328.62141964286,3305.70442478571,3733.46874314286
"FAU",1934.96869857143,1810.11314564286,1828.88381114286,1505.05579342857,775.633309685714,1044.52359432143,1489.89671064286,1861.80562278571,1258.15530914286,1653.27058707143,751.474347471429,1361.29285842857,1731.09351771429,2228.60683935714
"TARDBP",365.948315428571,419.178288792857,187.241435371429,303.083916964286,304.377822514286,248.724063007143,176.1501509,134.858568164286,165.590781178571,107.999577958571,291.368858757143,317.937055307143,277.42529815,256.375469371429
"CFL1",3156.83315985714,3156.83315985714,5987.94794592857,3548.41294235714,4744.47729264286,2937.02051207143,8670.16849271429,6324.00033092857,7649.22139914286,9884.32849671429,3330.19632757143,3485.8965815,2992.4267965,2750.41450457143
"RPL18",1059.69226597857,1475.2713705,1275.21041721429,1003.18714712143,857.154818628571,579.649706907143,1586.01018285714,1294.19460678571,1361.29285842857,2188.96621278571,585.62196835,627.575576007143,625.248720542857,1081.73561858571
"EIF3F",790.864782278571,712.369429771429,689.224097542857,537.523041642857,397.0857493,408.039742964286,665.697925928571,482.354400385714,894.175504007143,573.451276578571,317.937055307143,667.289325507143,547.370397935714,662.971693821429
"RPS5",3087.84767235714,3454.11878635714,2269.73273657143,1710.62229307143,1330.235715,1181.0449291,1774.86842557143,1918.309939,2141.63994635714,2775.09236678571,873.848971571429,2269.73273657143,1741.809368,2141.63994635714
"RPL27",2319.02018978571,1535.97396064286,1861.80562278571,762.4353896,434.496272764286,553.287155521429,1840.42007,1674.33953085714,1229.66434664286,1321.94298757143,412.7541619,986.139850742857,907.070775678571,2064.39048614286
"RPL34",686.699769071429,462.604584557143,582.280778978571,244.3670059,141.516941264286,199.483836885714,331.855883014286,217.493495128571,186.903189935714,157.572546414286,220.713238457143,184.757553207143,251.207180657143,1097.64990439286
"NARS",570.158241892857,560.5842279,319.6184403,493.733478128571,355.700181014286,321.698800071429,247.830622378571,229.498314214286,144.478150821429,91.5819698257143,335.407302521429,519.296065292857,402.965237235714,622.826494957143
"STARD7",562.782230857143,402.965237235714,273.716872728571,264.620861321429,282.4362843,256.063933678571,129.936980571429,214.838398914286,28.0366573985714,64.8786846242857,230.27647085,331.059476064286,309.572884857143,416.540566242857
"RPL19",6157.82352314286,5851.19629778571,4388.711207,4388.711207,2818.37194492857,2121.92168214286,5109.37765407143,4825.68174378571,5655.29488692857,4537.16817978571,2228.60683935714,3976.47259371429,6076.6037945,5750.65668214286
"SLC25A3",2365.72705707143,2406.89117157143,1444.99290314286,2282.76837878571,2197.14220214286,1663.64225778571,1301.78685385714,1330.235715,1840.42007,1218.82635327143,1634.6647935,2406.89117157143,1988.71081914286,1934.96869857143
"SNORD35B",11134.2296048571,9241.18656642857,11754.8537604286,9241.18656642857,7128.80535264286,7649.22139914286,11754.8537604286,9884.32849671429,8279.12611314286,11134.2296048571,4921.55091721429,9241.18656642857,8279.12611314286,11754.8537604286
"RPL9",2686.08254764286,2005.10706457143,1653.27058707143,360.97925045,278.520160371429,580.310759014286,298.748400228571,595.129381914286,537.523041642857,249.536726621429,521.592622464286,1092.52716055,634.636175342857,3200.97143278571
"MIR5047",1698.30177507143,1967.76406564286,1305.23823135714,2056.11882492857,2353.0451565,801.138839078571,982.291291464286,866.694972428571,861.580046392857,356.827524721429,1576.01292935714,1683.05675614286,1718.70339642857,1948.23050878571
