Trait,DNAJB2,PTGS2,UBE2D1
0,200.1,2.8,45.4
0,73.4,27.8,46.63333333
0,104,10.1,80.03333333
0,168.3,20.6,65.33333333
0,60,15.7,89.23333333
0,76.8,55.2,74.13333333
0,114.6,35.1,74.46666667
0,42.8,39,144.7666667
0,57.7,45.9,80.03333333
0,55.7,55.2,45.3
0,76,22.3,48.2
0,38.9,52.3,65.56666667
0,120.9,46.8,72.26666667
0,85,47.8,67.53333333
1,7.9,245.5,160.5666667
1,12.2,57.9,188.8333333
1,34.4,178.8,326.6
1,17.3,51.6,113.0666667
1,56.5,68.7,101.2
1,33.3,151.2,248.4666667
1,36.8,137,142.9666667
1,67.3,112.6,185.3666667
1,12.8,149.6,240.2666667
1,50.2,71.8,202.0333333
1,8.3,98,197.4666667
1,51.9,59.4,155.6
